"country","sex","age_band","n","survey_share","weight","representation_ratio"
"SI","F","18-24",59,0.117296222664016,0.0769311050352319,1.52469176947735
"SI","F","25-34",79,0.157057654075547,0.123596227246036,1.27073178182778
"SI","F","35-44",94,0.186878727634195,0.163014257927187,1.14639498415941
"SI","F","45-54",112,0.222664015904573,0.168284140120376,1.32314320140506
"SI","F","55-64",95,0.188866799204771,0.170229237008221,1.10948508331533
"SI","F","65+",64,0.127236580516899,0.297945032662948,0.427047161618015
"SI","M","18-24",49,0.0945945945945946,0.0855310514829662,1.10596786727722
"SI","M","25-34",90,0.173745173745174,0.144180228719088,1.20505547320006
"SI","M","35-44",114,0.22007722007722,0.183969751311192,1.19626850886454
"SI","M","45-54",107,0.206563706563707,0.18458429224225,1.11907521520093
"SI","M","55-64",95,0.183397683397683,0.170180917645793,1.07766303023115
"SI","M","65+",63,0.121621621621622,0.231553758598709,0.52524140552776
"FR","F","18-24",51,0.096958174904943,0.0965623664053332,1.0040989933692
"FR","F","25-34",75,0.142585551330798,0.141392886780666,1.00843510997822
"FR","F","35-44",80,0.152091254752852,0.156429483066165,0.972267195235323
"FR","F","45-54",86,0.163498098859316,0.155567060178455,1.05098147815973
"FR","F","55-64",83,0.157794676806084,0.157875095679564,0.999490617103767
"FR","F","65+",151,0.287072243346008,0.292173107889817,0.982541635742421
"FR","M","18-24",54,0.112266112266112,0.110880036615048,1.01250067815072
"FR","M","25-34",72,0.14968814968815,0.151619990407698,0.987258667446465
"FR","M","35-44",78,0.162162162162162,0.162741239766486,0.996441727953193
"FR","M","45-54",82,0.17047817047817,0.166087234671386,1.02643752733599
"FR","M","55-64",78,0.162162162162162,0.162758534323364,0.996335847065218
"FR","M","65+",117,0.243243243243243,0.245912964216018,0.989143634694958
"DE","F","18-24",43,0.0838206627680312,0.0809427713305756,1.03555464422761
"DE","F","25-34",73,0.142300194931774,0.139207180073879,1.02221878825685
"DE","F","35-44",75,0.146198830409357,0.152524239087095,0.958528501990255
"DE","F","45-54",83,0.161793372319688,0.147435099535552,1.09738707288405
"DE","F","55-64",92,0.179337231968811,0.185280474313036,0.967922996925279
"DE","F","65+",147,0.286549707602339,0.294610235659862,0.972640027121023
"DE","M","18-24",44,0.0897959183673469,0.0922038858509755,0.973884316681398
"DE","M","25-34",81,0.16530612244898,0.156824989850323,1.05408023687265
"DE","M","35-44",75,0.153061224489796,0.163359189073577,0.936961216310012
"DE","M","45-54",84,0.171428571428571,0.154188766769039,1.11180973180333
"DE","M","55-64",90,0.183673469387755,0.191010160271451,0.961590049067183
"DE","M","65+",116,0.236734693877551,0.242413008184634,0.976575867979997
"PT","F","18-24",45,0.0825688073394495,0.0814828675542257,1.01332721611081
"PT","F","25-34",66,0.121100917431193,0.12128321112818,0.998496958521368
"PT","F","35-44",86,0.157798165137615,0.145857999287846,1.08186157706856
"PT","F","45-54",96,0.176146788990826,0.176397812514388,0.998576946505265
"PT","F","55-64",112,0.205504587155963,0.167492936543572,1.22694479777362
"PT","F","65+",140,0.256880733944954,0.307485172971788,0.835424783127748
"PT","M","18-24",46,0.0985010706638116,0.0949114689828499,1.0378205260063
"PT","M","25-34",66,0.141327623126338,0.140081490135075,1.00889577195432
