"country","sex","age_band","n","survey_share","weight","representation_ratio"
"PT","M","35-44",78,0.167023554603854,0.15641453817327,1.06782628107646
"PT","M","45-54",86,0.184154175588865,0.181685992513546,1.01358488368406
"PT","M","55-64",80,0.171306209850107,0.165312717624306,1.03625548180402
"PT","M","65+",111,0.237687366167024,0.261593792570952,0.908612409457521
"IT","F","18-24",40,0.0766283524904215,0.0763675798505665,1.00341470346926
"IT","F","25-34",62,0.118773946360153,0.116659742414724,1.01812282370651
"IT","F","35-44",76,0.145593869731801,0.135747864216169,1.07253156852584
"IT","F","45-54",97,0.185823754789272,0.178991473004884,1.03817099032534
"IT","F","55-64",89,0.170498084291188,0.181592529319305,0.938904727690591
"IT","F","65+",158,0.302681992337165,0.31064081119435,0.97437935206715
"IT","M","18-24",39,0.0807453416149068,0.0890519548927163,0.906721718935685
"IT","M","25-34",65,0.134575569358178,0.132756869272959,1.01369948007345
"IT","M","35-44",77,0.159420289855072,0.14597282115034,1.09212309934657
"IT","M","45-54",95,0.196687370600414,0.187170331754106,1.05084694116379
"IT","M","55-64",84,0.173913043478261,0.184007793314335,0.945139552764325
"IT","M","65+",123,0.254658385093168,0.261040229615543,0.975552256708575
"PL","F","18-24",41,0.0789980732177264,0.0762340568548466,1.03625697590963
"PL","F","25-34",82,0.157996146435453,0.141051885431881,1.12012785899097
"PL","F","35-44",98,0.188824662813102,0.183889040333989,1.02684022098407
"PL","F","45-54",78,0.15028901734104,0.165829659263854,0.906285510132499
"PL","F","55-64",84,0.161849710982659,0.147261929367425,1.09906010112659
"PL","F","65+",136,0.262042389210019,0.285733428748004,0.917086916844866
"PL","M","18-24",46,0.0958333333333333,0.0873792576460817,1.09675151649255
"PL","M","25-34",84,0.175,0.161889254967277,1.08098588776243
"PL","M","35-44",102,0.2125,0.208550052175044,1.01894004716739
"PL","M","45-54",80,0.166666666666667,0.181823442118206,0.916640146754643
"PL","M","55-64",77,0.160416666666667,0.148887035146141,1.0774387877978
"PL","M","65+",91,0.189583333333333,0.211470957947251,0.896498200857551
"ES","F","18-24",41,0.0793036750483559,0.0847692311227925,0.935524293401701
"ES","F","25-34",67,0.129593810444874,0.128826948813273,1.005952649183
"ES","F","35-44",91,0.176015473887814,0.160716720660458,1.09519080008904
"ES","F","45-54",98,0.189555125725339,0.189848471384567,0.998454843185783
"ES","F","55-64",87,0.168278529980658,0.168256428887151,1.00013135363476
"ES","F","65+",133,0.257253384912959,0.267582199131758,0.961399471817209
"ES","M","18-24",45,0.0922131147540984,0.0955858463275342,0.964715157075883
"ES","M","25-34",68,0.139344262295082,0.140730671351556,0.990148493976763
"ES","M","35-44",90,0.184426229508197,0.17011609544183,1.08411981258563
"ES","M","45-54",99,0.202868852459016,0.203183425598076,0.998451777559446
"ES","M","55-64",81,0.165983606557377,0.170823378907617,0.971667974365164
"ES","M","65+",105,0.215163934426229,0.219560582373387,0.979975240092593
"SE","F","18-24",46,0.0914512922465209,0.0950161546289603,0.962481512787375
"SE","F","25-34",87,0.172962226640159,0.16527623147648,1.04650393523023
"SE","F","35-44",78,0.15506958250497,0.159708111475313,0.970956209252654
"SE","F","45-54",81,0.1610337972167,0.153732358011265,1.04749448522021
"SE","F","55-64",75,0.149105367793241,0.150424402891136,0.991231242587348
"SE","F","65+",136,0.27037773359841,0.275842741516846,0.980187958224369
"SE","M","18-24",52,0.104,0.103688318230596,1.00300594873871
"SE","M","25-34",92,0.184,0.174586709097922,1.05391756881561
"SE","M","35-44",81,0.162,0.167827030461726,0.965279547366746
"SE","M","45-54",84,0.168,0.157999259154487,1.06329612492508
"SE","M","55-64",75,0.15,0.152865815131615,0.981252740325575
"SE","M","65+",116,0.232,0.243032867923655,0.954603391640341
"NL","F","18-24",54,0.106508875739645,0.107236373705679,0.993215940255209
"NL","F","25-34",79,0.155818540433925,0.157756234032688,0.987717166230265
"NL","F","35-44",74,0.145956607495069,0.148366793280626,0.983755220880199
"NL","F","45-54",87,0.171597633136095,0.155909922903488,1.10062034500728
"NL","F","55-64",85,0.167652859960552,0.166623034600319,1.00618057018769
"NL","F","65+",128,0.252465483234714,0.2641076414772,0.955918889065953
"NL","M","18-24",56,0.113131313131313,0.113218544292675,0.999229532918774
"NL","M","25-34",83,0.167676767676768,0.167113534876062,1.00337036016337
"NL","M","35-44",73,0.147474747474747,0.153630965642163,0.959928533016224
"NL","M","45-54",86,0.173737373737374,0.157850521476934,1.10064491464326
"NL","M","55-64",83,0.167676767676768,0.170520259209392,0.983324611715886
"NL","M","65+",114,0.23030303030303,0.237666174502774,0.969018964456561
"DK","F","18-24",51,0.104294478527607,0.104018047429886,1.00265753015512
"DK","F","25-34",87,0.177914110429448,0.163640369104238,1.08722628409691
"DK","F","35-44",77,0.157464212678937,0.141575014861069,1.11223165212774
"DK","F","45-54",95,0.194274028629857,0.157828450137165,1.23091894053967
"DK","F","55-64",100,0.204498977505112,0.161368851117319,1.26727665276886
"DK","F","65+",79,0.161554192229039,0.271569267350324,0.594891291659428
"DK","M","18-24",51,0.100591715976331,0.11069685115159,0.908713436108309
"DK","M","25-34",89,0.175542406311637,0.174690256316505,1.00487806253823
"DK","M","35-44",83,0.16370808678501,0.14874857780966,1.10056908910075
"DK","M","45-54",93,0.183431952662722,0.161519962897734,1.13566118622044
"DK","M","55-64",81,0.159763313609467,0.164955123865881,0.968525923082967
"DK","M","65+",110,0.216962524654832,0.23938922795863,0.906316990555342
"UK","F","18-24",52,0.10077519379845,NA,NA
"UK","F","25-34",88,0.170542635658915,NA,NA
"UK","F","35-44",82,0.158914728682171,NA,NA
"UK","F","45-54",84,0.162790697674419,NA,NA
"UK","F","55-64",82,0.158914728682171,NA,NA
"UK","F","65+",128,0.248062015503876,NA,NA
"UK","M","18-24",53,0.108829568788501,NA,NA
"UK","M","25-34",81,0.166324435318275,NA,NA
"UK","M","35-44",81,0.166324435318275,NA,NA
"UK","M","45-54",81,0.166324435318275,NA,NA
"UK","M","55-64",84,0.172484599589322,NA,NA
"UK","M","65+",107,0.219712525667351,NA,NA
"EL","F","18-24",43,0.0819047619047619,0.0793732281068355,1.0318940511594
"EL","F","25-34",66,0.125714285714286,0.114821912117446,1.09486319637055
"EL","F","35-44",86,0.163809523809524,0.154220940394334,1.06217432853588
"EL","F","45-54",92,0.175238095238095,0.178773715507834,0.980222930089609
"EL","F","55-64",179,0.340952380952381,0.171702318155542,1.98571798339681
"EL","F","65+",59,0.112380952380952,0.301107885718008,0.37322487291548
"EL","M","18-24",44,0.0910973084886128,0.0930110248795049,0.979424843523966
"EL","M","25-34",65,0.134575569358178,0.131592893572664,1.02266593358149
"EL","M","35-44",85,0.175983436853002,0.16548022564086,1.06347109554308
"EL","M","45-54",89,0.184265010351967,0.187232565331611,0.984150433583024
"EL","M","55-64",108,0.22360248447205,0.168622309195798,1.32605516754257
"EL","M","65+",92,0.19047619047619,0.254060981379562,0.749726264308264
"CZ","F","18-24",38,0.0735009671179884,0.0805489679683455,0.912500420202443
"CZ","F","25-34",77,0.148936170212766,0.134868476883465,1.10430675614033
"CZ","F","35-44",94,0.181818181818182,0.167077351511474,1.08822757946157
"CZ","F","45-54",89,0.172147001934236,0.188906726010425,0.911280426959154
"CZ","F","55-64",78,0.150870406189555,0.143477318800696,1.05152791709977
"CZ","F","65+",141,0.272727272727273,0.285121158825595,0.956531159773016
"CZ","M","18-24",42,0.0853658536585366,0.0884039583624201,0.965633838572833
"CZ","M","25-34",81,0.164634146341463,0.149975075172717,1.09774338270452
"CZ","M","35-44",100,0.203252032520325,0.184341352068808,1.10258512395232
"CZ","M","45-54",92,0.186991869918699,0.206018221360577,0.907647239568302
"CZ","M","55-64",74,0.150406504065041,0.150383148942709,1.00015530411815
"CZ","M","65+",103,0.209349593495935,0.220878244092769,0.947805404537751
"BE","F","18-24",53,0.103313840155945,0.0968839625989479,1.06636678955437
"BE","F","25-34",81,0.157894736842105,0.156633657141581,1.00805114126515
"BE","F","35-44",80,0.155945419103314,0.159969491488969,0.974844751032214
"BE","F","45-54",83,0.161793372319688,0.156448976417947,1.03416063194599
"BE","F","55-64",82,0.159844054580897,0.161143548004166,0.991935802336711
"BE","F","65+",134,0.261208576998051,0.268920364348389,0.971323155949813
"BE","M","18-24",52,0.106122448979592,0.106912814885696,0.992607379134586
"BE","M","25-34",80,0.163265306122449,0.165616068214819,0.985805953989193
"BE","M","35-44",81,0.16530612244898,0.166472031522914,0.992996366637276
"BE","M","45-54",86,0.175510204081633,0.165691334325811,1.05926000774738
"BE","M","55-64",84,0.171428571428571,0.168048090947342,1.0201161492652
"BE","M","65+",107,0.218367346938776,0.227259660103419,0.960871572365299
